text,candidate,source,channel
"Joke garne ni euta sima hunxani rabilai chunauti rey😂😂😂 kati hasnu 
Pahilo choti kati vote lyako thaha raixena shilapatra owner lai",mina kharel,yt:Mina Kharel,comment
Oe vai rabi le na ho jitne,mina kharel,yt:Mina Kharel,comment
yo pali rabi ko 60k vote dhukka hou timi,mina kharel,yt:Mina Kharel,comment
No doubt he will win this time as well 🔔🔔🔔🔔🔔,mina kharel,yt:Mina Kharel,comment
Rest ma hunuhun xa,mina kharel,yt:Mina Kharel,comment
मीना खरेलको जमाना जफत हुन्छ जित रविको पक्का छ।,mina kharel,yt:Mina Kharel,comment
Bro cellulitis is not simple 😂,mina kharel,yt:Mina Kharel,comment
वाड सदस्य हुने हैसियत छैन यो आईमाई,mina kharel,yt:Mina Kharel,comment
Ra sa pa hijack vayo😂😂😂,mina kharel,yt:Mina Kharel,comment
म लेखेर दिन्छु मिना खराेल को जमना जफ्त हुन्छ लेखेर राख्दा हुन्छ,mina kharel,yt:Mina Kharel,comment
अब 65 हजार ल्याउछ रबि ले,mina kharel,yt:Mina Kharel,comment
Meena kharel ✅️🌳🌳🌳,mina kharel,yt:Mina Kharel,comment
Jhole patrakar,mina kharel,yt:Mina Kharel,comment
रविसँग चुनाव भिड्न चरि जुरेली उठाएछन् । हास्यास्पद ।,mina kharel,yt:Mina Kharel,comment
BAG 🎒,mina kharel,yt:Mina Kharel,comment
Rabiko yspali jamanat jafat hunuparcha.sahakari tagliatelle kasle bhote dincha.pahila sahakariko paisa tirnu ani chunab janu,mina kharel,yt:Mina Kharel,comment
🌳🌳🌳🌳,mina kharel,yt:Mina Kharel,comment
ए शिलु त्यो नटवरलाल ले पाएको भोट चै उसको गोजि को हो ??? उसलाई हराउनै असम्भव छ भने जसरी कुरा गर्छे त ? नटवरलाल ले पाएको अधिकांश भोट NC कै हो जुन अब मिना दिदी लाई जान्छ । हुन त चिताउने को के भर भो र रास्ट्रबैक का गभर्नर लाई हराएर त्यो जगल्टे सुकुल गुन्डा जस्तो हरि ढकाल लाई जिताउने जिल्ला हो चितवन हेरौ तिनिहरु चेतना कत्तिको छ,mina kharel,yt:Mina Kharel,comment
Meena kharel le जित्नुपर्छ ❤❤❤,mina kharel,yt:Mina Kharel,comment
65 crore pahisa rabile tirnu parcha,mina kharel,yt:Mina Kharel,comment
Best wishes 🙏🙏❤,mina kharel,yt:Mina Kharel,comment
जय नेपाल❤,mina kharel,yt:Mina Kharel,comment
जय नेपाल,mina kharel,yt:Mina Kharel,comment
Good प्रस्न 🙏🌹🌹🌹,mina kharel,yt:Mina Kharel,comment
चितवनबासीले रास्ट्रीय रुपमा कामका आधारमा दिदी बनिसकेकी मिना जिको न्यायको निम्ति भोटबाट जिताउन जरुरी छ्👏👏👏,mina kharel,yt:Mina Kharel,comment
यो दिदीलाई नेता बन्नु भन्दा पहिला म कुन पाटि मा अबद्द भए भन्ने सोच कहिल्यै सोचेन ?,mina kharel,yt:Mina Kharel,comment
शुभकामना जय नेपाल,mina kharel,yt:Mina Kharel,comment
🔔🔔,mina kharel,yt:Mina Kharel,comment
ववा सर ववा तपाईकाे पत्रकारीचै मानै परछ सर🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,mina kharel,yt:Mina Kharel,comment
Salam mina didinlei🌳🌳🌳🌳🌳,mina kharel,yt:Mina Kharel,comment
